country_yq,country,year_quarter,year_quarter_aux,reer_index,exports_all,exports_imports,ca_gdp,debt_reserves,portfolio_pib,real_gdp_yoy,cpi_index,fiscal_gdp,creditgdp,lending_deposit,msci_index,fed_funds,vix,id,bo,br,cl,co,mx,py,pe,uy
MX2005Q3,MX,2005-Q3,1/7/2005,-0.075584083,0.034092518,0.952195908,-0.010567343,0.365092321,0.001509177,0.025590033,0.03895858,0.02648102,0.235,2.778819119,0.107140755,0.0346,-0.090212887,6,0,0,0,0,1,0,0,0
MX2005Q4,MX,2005-Q4,1/10/2005,-0.075229885,0.057481896,0.949715967,-0.00856546,0.389701386,0.000317184,0.031321468,0.030522462,0.024770494,0.24,2.615830116,0.071327637,0.0398,0.042428351,6,0,0,0,0,1,0,0,0
MX2006Q1,MX,2006-Q1,1/1/2006,-0.071067323,0.063119388,0.964844327,-0.005755006,0.413037826,0.012890085,0.05639689,0.036311832,0.024484525,0.242,2.396984925,0.155234137,0.044566667,-0.059582699,6,0,0,0,0,1,0,0,0
MX2006Q2,MX,2006-Q2,1/4/2006,-0.125671895,0.02399869,0.95766669,-0.004855553,0.359592421,0.004797187,0.042231558,0.030776306,0.028226407,0.247,2.255319149,0.020202419,0.049066667,0.187692717,6,0,0,0,0,1,0,0,0
MX2006Q3,MX,2006-Q3,1/7/2006,-0.108684202,0.000758173,0.939650474,-0.00436079,0.388765429,-0.036423522,0.047432727,0.034804648,0.02585528,0.247,2.222088892,-0.027720229,0.052466667,-0.06547489,6,0,0,0,0,1,0,0,0
MX2006Q4,MX,2006-Q4,1/10/2006,-0.100679923,-0.006976487,0.937883127,-0.003519232,0.406002076,0.018410252,0.034556019,0.040611423,0.022611742,0.256,2.239108409,0.103190329,0.052466667,-0.209588342,6,0,0,0,0,1,0,0,0
MX2007Q1,MX,2007-Q1,1/1/2007,-0.115669511,0.0134965,0.928946105,-0.006914872,0.361290054,0.004476757,0.020255965,0.040182832,0.021471,0.258,2.258358663,0.07063538,0.052566667,0.129739419,6,0,0,0,0,1,0,0,0
MX2007Q2,MX,2007-Q2,1/4/2007,-0.119653125,0.054746035,0.924415264,-0.009097611,0.366447644,0.015004244,0.019920254,0.038971859,0.020139234,0.26,2.27254306,0.100797714,0.0525,0.088917674,6,0,0,0,0,1,0,0,0
MX2007Q3,MX,2007-Q3,1/7/2007,-0.126248914,0.047670153,0.953321295,-0.009090135,0.36804963,0.010360837,0.024067152,0.039092858,0.017120134,0.27,2.375262055,0.088565499,0.050733333,0.452471544,6,0,0,0,0,1,0,0,0
MX2007Q4,MX,2007-Q4,1/10/2007,-0.130364979,0.020149617,0.954395549,-0.009400822,0.390383402,0.016600649,0.027298114,0.037397355,0.018453131,0.282,2.543572985,0.13569273,0.044966667,0.020204584,6,0,0,0,0,1,0,0,0
MX2008Q1,MX,2008-Q1,1/1/2008,-0.132382034,0.034184572,0.937043686,-0.008541238,0.427341193,0.015177521,0.011789697,0.038185845,0.017524956,0.282,2.594115313,-0.102482852,0.031766667,0.170309512,6,0,0,0,0,1,0,0,0
MX2008Q2,MX,2008-Q2,1/4/2008,-0.101552403,0.050877919,0.948523888,-0.008374353,0.41249679,0.020100556,0.026210987,0.047996788,0.00577258,0.28,2.609984558,0.033920258,0.020866667,-0.233880591,6,0,0,0,0,1,0,0,0
